episode,timestep,reward
1999,2000,0.0
3999,4000,0.0
5999,6000,0.0
7999,8000,0.0
9999,10000,0.0
11999,12000,0.0
13999,14000,0.0
15999,16000,0.0
17999,18000,0.0
19999,20000,0.0
21999,22000,0.0
23999,24000,0.0
25999,26000,0.0
27999,28000,0.0
29999,30000,0.0
31999,32000,0.0
33999,34000,0.0
35999,36000,0.0
37999,38000,0.0
39999,40000,0.0
41999,42000,0.0
43999,44000,0.0
45999,46000,0.0
47999,48000,0.0
49999,50000,0.0
51999,52000,0.0
53999,54000,0.0
55999,56000,0.0
57999,58000,0.0
59999,60000,0.0
61999,62000,0.0
63999,64000,0.0
65999,66000,0.0
67999,68000,0.0
69999,70000,0.0
71999,72000,0.0
73999,74000,0.0
75999,76000,0.0
77999,78000,0.0
79999,80000,0.0
