episode,timestep,reward
134,2000,17.3282
259,4000,18.4313
370,6000,19.6868
479,8000,19.4492
561,10000,23.1209
652,12000,21.5917
716,14000,27.0015
776,16000,28.9377
825,18000,35.3838
872,20000,35.6283
905,22000,43.7008
939,24000,38.9131
970,26000,48.079
998,28000,53.526
1025,30000,51.2669
1048,32000,58.5103
1075,34000,50.1645
1103,36000,48.2382
1130,38000,43.9286
1156,40000,53.7475
1181,42000,55.223
1208,44000,54.4985
1232,46000,59.6689
1261,48000,62.1517
1285,50000,59.7893
1311,52000,55.287
1338,54000,61.8965
1364,56000,49.2585
1391,58000,63.7747
1416,60000,62.3662
1443,62000,68.866
1465,64000,68.0236
1487,66000,73.0868
1509,68000,78.3428
1533,70000,65.416
1557,72000,62.6463
1579,74000,77.055
1604,76000,65.5973
1630,78000,67.8287
1655,80000,72.1454
1677,82000,78.2837
1697,84000,78.7723
1720,86000,67.0378
1742,88000,71.7618
1766,90000,74.7094
1789,92000,76.9058
1812,94000,68.0375
1837,96000,69.896
1861,98000,68.4234
1885,100000,66.1908
1908,102000,70.0781
1933,104000,67.8358
1952,106000,74.8771
1977,108000,77.8251
1997,110000,82.8645
2022,112000,77.618
2044,114000,77.4158
2070,116000,71.9214
2095,118000,76.3456
2117,120000,85.2831
2139,122000,85.3782
2162,124000,76.9559
2185,126000,76.2123
2208,128000,81.1642
2229,130000,86.4304
2251,132000,77.856
2274,134000,84.1212
2297,136000,74.3102
2318,138000,82.4389
2343,140000,73.6482
2364,142000,91.2381
2384,144000,92.9832
2408,146000,78.8391
2429,148000,72.5795
2450,150000,86.7013
2470,152000,88.5052
2491,154000,85.1637
2512,156000,89.6449
2533,158000,87.203
2550,160000,100.1683
2572,162000,85.3769
2598,164000,77.2932
2620,166000,81.9745
2644,168000,78.5905
2664,170000,95.5417
2689,172000,82.5883
2713,174000,82.5279
2736,176000,87.5158
2757,178000,93.5972
2778,180000,92.2903
2800,182000,88.1123
2820,184000,96.2534
2838,186000,90.257
2858,188000,102.0393
2880,190000,88.7843
2902,192000,89.7714
2921,194000,96.7512
